"Sign In", "Вход"
"Create an Account","Регистрация"
"My Account","Гараж"
"My Wish List","Избранное"
"Compare Products","Сравнение"
"My Cart","Корзина"
"Search entire store here...","Поиск по названию, коду, категории товара"
"Home","Главная"
"Out of stock","Нет в наличии"
"Recently Viewed","Вы просматривали"
"Related Products","Похожие товары"
"Review","Отзыв"
"Reviews","отзыва"
"Submit Review","Оставить отзыв"
"Notify me when this product is in stock","Сообщить о поступлении"
"Add to Compare","Сравнить"
"Share","Поделиться"
"Details","Описание"
"sku","Код товара "
"In stock","В наличии"
"Out of stock'","Нет в наличии"
"Sale","Скидка -10%"
"More Information","Характеристики"
"Expand all","Показать все характеристики"
"Collapse","Свернуть"
"Customer Reviews","Отзывы"
"Add To Cart","Купить"
"Special Price",""
"Regular Price",""
"Leave feedback","Оставить отзыв"
"Reviews_tab_count","Отзывы "
"Nickname","Имя"
"Summary","Достоинства"
"Your Rating","Оценка"
"All recently viewed","Все просмотренные товары"
"Contact me after appearance","Сообщить о поступлении"
